369776 getPopulationofCountry Guyana Zone:3 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 3)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 1)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 83 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 1)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
3022187 getPopulationofCountry Benin Zone:2 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 2)
107338689 getPopulationofCountry Mexico Zone:5 (turnaround time: 90 ms, execution time: 3 ms, waiting time: 85 ms, processed by Server 5)
107338689 getPopulationofCountry Mexico Zone:5 (turnaround time: 84 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 5)
9362428 getPopulationofCountry Sweden Zone:2 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 2)
3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 4)
266998322 getPopulationofCountry United States Zone:4 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 84 ms, execution time: 0 ms, waiting time: 83 ms, processed by Server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 82 ms, execution time: 0 ms, waiting time: 81 ms, processed by Server 4)
63717971 getPopulationofCountry Turkey Zone:4 (turnaround time: 81 ms, execution time: 0 ms, waiting time: 80 ms, processed by Server 4)
7375148 getPopulationofCountry Switzerland Zone:5 (turnaround time: 89 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 5)
134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
7287342 getPopulationofCountry Ghana Zone:5 (turnaround time: 88 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 5)
7287342 getPopulationofCountry Ghana Zone:5 (turnaround time: 83 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 5)
1698635 getPopulationofCountry Kuwait Zone:4 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 4)
3639169 getPopulationofCountry Cambodia Zone:5 (turnaround time: 86 ms, execution time: 3 ms, waiting time: 82 ms, processed by Server 5)
3639169 getPopulationofCountry Cambodia Zone:5 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 5)
3639169 getPopulationofCountry Cambodia Zone:5 (turnaround time: 87 ms, execution time: 0 ms, waiting time: 86 ms, processed by Server 5)
8249 getPopulationofCountry Tuvalu Zone:4 (turnaround time: 88 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 4)
100848918 getPopulationofCountry Japan Zone:5 (turnaround time: 86 ms, execution time: 2 ms, waiting time: 83 ms, processed by Server 5)
100848918 getPopulationofCountry Japan Zone:5 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 83 ms, processed by Server 5)
184225 getPopulationofCountry Guam Zone:1 (turnaround time: 89 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 1)
1073335 getPopulationofCountry Botswana Zone:2 (turnaround time: 88 ms, execution time: 0 ms, waiting time: 86 ms, processed by Server 2)
374575 getPopulationofCountry Guadeloupe Zone:2 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 2)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 4)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 4)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 84 ms, execution time: 0 ms, waiting time: 83 ms, processed by Server 4)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 88 ms, execution time: 0 ms, waiting time: 86 ms, processed by Server 4)
1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
63717971 getPopulationofCountry Turkey Zone:5 (turnaround time: 88 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 5)
3645095 getPopulationofCountry Uganda Zone:3 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 3)
31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 91 ms, execution time: 3 ms, waiting time: 86 ms, processed by Server 5)
31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 82 ms, execution time: 0 ms, waiting time: 81 ms, processed by Server 5)
3989252 getPopulationofCountry Nepal Zone:2 (turnaround time: 88 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 2)
3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 90 ms, execution time: 5 ms, waiting time: 84 ms, processed by Server 5)
3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 5)
3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 82 ms, execution time: 0 ms, waiting time: 81 ms, processed by Server 5)
16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 83 ms, execution time: 1 ms, waiting time: 80 ms, processed by Server 4)
15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 2)
15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 87 ms, execution time: 0 ms, waiting time: 86 ms, processed by Server 2)
4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 87 ms, execution time: 0 ms, waiting time: 86 ms, processed by Server 5)
61881622 getPopulationofCountry Philippines Zone:1 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
7348242 getPopulationofCountry Bolivia Zone:1 (turnaround time: 84 ms, execution time: 0 ms, waiting time: 83 ms, processed by Server 1)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 89 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 4)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 87 ms, execution time: 0 ms, waiting time: 86 ms, processed by Server 4)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 4)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 4)
9362428 getPopulationofCountry Sweden Zone:4 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 4)
